,Label,Strata,ROCAUC,CI_ROC,PRAUC,CI_PR
0,Atelectasis,white,0.713736205110474,"[0.689, 0.736]",0.3640283845870117,"[0.325, 0.404]"
1,Atelectasis,other,0.6545426065162908,"[0.597, 0.711]",0.5222497784545165,"[0.442, 0.612]"
2,Atelectasis,black,0.717310630866623,"[0.672, 0.763]",0.3614398745269054,"[0.3, 0.444]"
3,Atelectasis,hispanic/latino,0.5425531914893617,"[0.146, 1.0]",0.35834896810506567,"[0.012, 1.0]"
4,Atelectasis,asian,0.6858379715522573,"[0.602, 0.77]",0.3390431663848711,"[0.256, 0.496]"
5,Cardiomegaly,white,0.7664682886982905,"[0.747, 0.787]",0.47319535293546316,"[0.433, 0.52]"
6,Cardiomegaly,other,0.6946486928104575,"[0.628, 0.756]",0.47848769246707024,"[0.38, 0.59]"
7,Cardiomegaly,black,0.7154523172905526,"[0.676, 0.76]",0.4806210645006397,"[0.42, 0.556]"
8,Cardiomegaly,hispanic/latino,0.608457711442786,"[0.48, 0.717]",0.38814333003619034,"[0.264, 0.551]"
9,Cardiomegaly,asian,0.6367647058823529,"[0.554, 0.717]",0.3638826689710621,"[0.277, 0.491]"
10,Consolidation,white,0.7042761100687931,"[0.662, 0.745]",0.14761300356974527,"[0.112, 0.204]"
11,Consolidation,other,0.795158771473191,"[0.723, 0.859]",0.24194161936380726,"[0.159, 0.365]"
12,Consolidation,black,0.7150394248608536,"[0.617, 0.808]",0.17822265607939689,"[0.075, 0.317]"
13,Consolidation,asian,0.6165850673194615,"[0.478, 0.734]",0.14294023062971706,"[0.085, 0.278]"
14,Edema,white,0.8272179374053619,"[0.807, 0.845]",0.5314475320666283,"[0.486, 0.578]"
15,Edema,other,0.7614543926019336,"[0.699, 0.826]",0.37437578648741093,"[0.273, 0.498]"
16,Edema,black,0.8258460320601623,"[0.786, 0.859]",0.5852632779815434,"[0.496, 0.67]"
17,Edema,hispanic/latino,0.7233468286099866,"[0.587, 0.85]",0.47055490183097326,"[0.285, 0.702]"
18,Edema,asian,0.7736406619385343,"[0.693, 0.84]",0.5831412326003027,"[0.439, 0.715]"
19,Enlarged Cardiomediastinum,white,0.70056505994006,"[0.648, 0.749]",0.09256412212600548,"[0.069, 0.133]"
20,Enlarged Cardiomediastinum,other,0.7109723461195362,"[0.585, 0.829]",0.13732075821459785,"[0.066, 0.31]"
21,Enlarged Cardiomediastinum,black,0.6602768903088392,"[0.511, 0.788]",0.10876749532184685,"[0.03, 0.257]"
22,Enlarged Cardiomediastinum,asian,0.532596685082873,"[0.38, 0.69]",0.059487664002848196,"[0.03, 0.124]"
23,Fracture,white,0.698308730936057,"[0.624, 0.768]",0.08356309606648418,"[0.048, 0.166]"
24,Fracture,other,0.7761093073593073,"[0.659, 0.879]",0.1986940958200003,"[0.105, 0.38]"
25,Fracture,black,0.6640665626625064,"[0.303, 0.879]",0.011645564994975793,"[0.002, 0.038]"
26,Fracture,hispanic/latino,0.5473684210526316,"[0.104, 0.979]",0.09538152610441766,"[0.011, 0.5]"
27,Fracture,asian,0.7935483870967742,"[0.603, 0.942]",0.09557924416936657,"[0.029, 0.275]"
28,Lung Lesion,white,0.6682935082513406,"[0.603, 0.724]",0.07711289073683515,"[0.052, 0.121]"
29,Lung Lesion,other,0.6305465367965368,"[0.48, 0.768]",0.13720951142551624,"[0.062, 0.311]"
30,Lung Lesion,black,0.8083954561590344,"[0.703, 0.898]",0.12976699761060134,"[0.062, 0.294]"
31,Lung Lesion,hispanic/latino,0.6245421245421245,"[0.355, 0.882]",0.253800015770833,"[0.032, 0.591]"
32,Lung Opacity,white,0.6797002633947922,"[0.655, 0.703]",0.4710518814072905,"[0.434, 0.511]"
33,Lung Opacity,other,0.6325194621372965,"[0.577, 0.693]",0.5314716397057693,"[0.453, 0.621]"
34,Lung Opacity,black,0.6555233855847352,"[0.608, 0.697]",0.39492869587281376,"[0.331, 0.471]"
35,Lung Opacity,hispanic/latino,0.7013157894736842,"[0.591, 0.799]",0.572538859483632,"[0.435, 0.739]"
36,Lung Opacity,asian,0.656988188976378,"[0.57, 0.735]",0.5012742884070074,"[0.39, 0.625]"
37,No Finding,white,0.7817615045875915,"[0.759, 0.806]",0.47863002503501184,"[0.431, 0.532]"
38,No Finding,other,0.7165736115192477,"[0.625, 0.805]",0.30668202544229417,"[0.187, 0.462]"
39,No Finding,black,0.8101815569487982,"[0.76, 0.853]",0.5308997452199488,"[0.442, 0.629]"
40,No Finding,hispanic/latino,0.737468671679198,"[0.6, 0.856]",0.4981579276593324,"[0.301, 0.715]"
41,No Finding,asian,0.6789473684210526,"[0.548, 0.809]",0.2237324098414517,"[0.122, 0.417]"
42,Pleural Effusion,white,0.8563140308472524,"[0.84, 0.872]",0.7289809059518919,"[0.695, 0.762]"
43,Pleural Effusion,other,0.8386831275720165,"[0.796, 0.878]",0.7568307546428963,"[0.683, 0.824]"
44,Pleural Effusion,black,0.8258527187098615,"[0.794, 0.857]",0.6102996892901871,"[0.537, 0.692]"
45,Pleural Effusion,hispanic/latino,0.836021505376344,"[0.635, 1.0]",0.3554824561403509,"[0.042, 1.0]"
46,Pleural Effusion,asian,0.8325647782169521,"[0.772, 0.887]",0.8139077274553828,"[0.726, 0.895]"
47,Pleural Other,white,0.8246558450027864,"[0.783, 0.862]",0.05745055738059415,"[0.039, 0.088]"
48,Pleural Other,other,0.8624661246612466,"[0.685, 0.997]",0.16432499343282397,"[0.016, 0.698]"
49,Pleural Other,black,0.9308390022675737,"[0.903, 0.956]",0.14891919777231713,"[0.084, 0.307]"
50,Pleural Other,hispanic/latino,0.8978494623655915,"[0.747, 0.99]",0.29892473118279567,"[0.077, 0.794]"
51,Pneumonia,white,0.6673197717973838,"[0.631, 0.704]",0.20198770187521595,"[0.165, 0.254]"
52,Pneumonia,other,0.6003381234150464,"[0.485, 0.713]",0.14242062678170653,"[0.092, 0.235]"
53,Pneumonia,black,0.6645147792821064,"[0.585, 0.741]",0.21320756508383334,"[0.138, 0.326]"
54,Pneumonia,hispanic/latino,0.8114942528735632,"[0.666, 0.931]",0.424644620389962,"[0.138, 0.671]"
55,Pneumonia,asian,0.7026332691072575,"[0.587, 0.809]",0.16194377942707716,"[0.095, 0.297]"
56,Pneumothorax,white,0.7711831700026486,"[0.716, 0.822]",0.09192215387296487,"[0.061, 0.135]"
57,Pneumothorax,other,0.6593114241001564,"[0.486, 0.83]",0.35825584302280794,"[0.136, 0.596]"
58,Pneumothorax,black,0.9061514195583596,"[0.846, 0.96]",0.11765031325542452,"[0.047, 0.277]"
59,Pneumothorax,hispanic/latino,0.3789473684210526,"[0.083, 0.702]",0.02565359477124183,"[0.011, 0.087]"
60,Pneumothorax,asian,0.6538461538461537,"[0.462, 0.823]",0.15998334762389987,"[0.065, 0.356]"
61,Support Devices,white,0.8455419068086354,"[0.828, 0.862]",0.7289251793320686,"[0.695, 0.762]"
62,Support Devices,other,0.8299022426682001,"[0.788, 0.87]",0.8037791096961616,"[0.742, 0.864]"
63,Support Devices,black,0.7993466597438559,"[0.765, 0.835]",0.6651973964012297,"[0.598, 0.732]"
64,Support Devices,hispanic/latino,0.9365079365079365,"[0.874, 0.984]",0.575,"[0.217, 0.868]"
65,Support Devices,asian,0.7391971923667471,"[0.663, 0.806]",0.7588900384462801,"[0.673, 0.839]"
