,Label,Strata,ROCAUC,CI_ROC,PRAUC,CI_PR
0,Atelectasis,Other,0.6790420832364567,"[0.64, 0.714]",0.33149774134221005,"[0.277, 0.394]"
1,Atelectasis,Unknown,0.6502210433244915,"[0.59, 0.714]",0.5364471436377101,"[0.449, 0.628]"
2,Atelectasis,Medicare,0.7037729213765386,"[0.674, 0.732]",0.39587153862746327,"[0.348, 0.448]"
3,Atelectasis,Medicaid,0.7646307181190902,"[0.692, 0.828]",0.36201426586937535,"[0.269, 0.497]"
4,Cardiomegaly,Other,0.7118059623390113,"[0.681, 0.741]",0.3917997859689858,"[0.348, 0.445]"
5,Cardiomegaly,Unknown,0.6975244072524408,"[0.625, 0.768]",0.46817592073015535,"[0.354, 0.586]"
6,Cardiomegaly,Medicare,0.685321069312388,"[0.66, 0.712]",0.4120854528297474,"[0.376, 0.458]"
7,Cardiomegaly,Medicaid,0.7775139376419574,"[0.71, 0.839]",0.4603021097919599,"[0.365, 0.598]"
8,Consolidation,Other,0.737129810828441,"[0.681, 0.787]",0.12854214629067523,"[0.094, 0.181]"
9,Consolidation,Unknown,0.7411290322580646,"[0.659, 0.824]",0.21474605042723563,"[0.143, 0.345]"
10,Consolidation,Medicare,0.6690335047325844,"[0.617, 0.722]",0.1043676491317658,"[0.077, 0.145]"
11,Consolidation,Medicaid,0.6987301587301586,"[0.59, 0.818]",0.1437150613261924,"[0.077, 0.323]"
12,Edema,Other,0.8398628048780488,"[0.811, 0.866]",0.5085663972643308,"[0.444, 0.586]"
13,Edema,Unknown,0.68203125,"[0.599, 0.759]",0.334407211357795,"[0.236, 0.467]"
14,Edema,Medicare,0.7741543322104474,"[0.748, 0.798]",0.5089858734244644,"[0.458, 0.566]"
15,Edema,Medicaid,0.7468434343434343,"[0.678, 0.812]",0.29380320443662655,"[0.195, 0.432]"
16,Enlarged Cardiomediastinum,Other,0.6191461924799783,"[0.536, 0.7]",0.07539352461640408,"[0.053, 0.128]"
17,Enlarged Cardiomediastinum,Unknown,0.5574152542372881,"[0.413, 0.696]",0.12072644233922636,"[0.035, 0.275]"
18,Enlarged Cardiomediastinum,Medicare,0.6764252133826282,"[0.622, 0.735]",0.07393907335831716,"[0.051, 0.114]"
19,Enlarged Cardiomediastinum,Medicaid,0.6467889908256881,"[0.446, 0.829]",0.05291780746274291,"[0.022, 0.131]"
20,Fracture,Other,0.6330743079164642,"[0.528, 0.734]",0.09113935660202013,"[0.03, 0.196]"
21,Fracture,Unknown,0.725890356142457,"[0.585, 0.855]",0.21261138829963244,"[0.074, 0.429]"
22,Fracture,Medicare,0.6416845900809717,"[0.549, 0.733]",0.04135131877056131,"[0.026, 0.076]"
23,Fracture,Medicaid,0.8408408408408408,"[0.765, 0.904]",0.05147597500538677,"[0.02, 0.141]"
24,Lung Lesion,Other,0.6972187104930468,"[0.616, 0.768]",0.08310157653565364,"[0.037, 0.157]"
25,Lung Lesion,Unknown,0.579954954954955,"[0.406, 0.753]",0.1387824133024216,"[0.04, 0.329]"
26,Lung Lesion,Medicare,0.6785896931549961,"[0.61, 0.74]",0.06298395636554795,"[0.046, 0.09]"
27,Lung Lesion,Medicaid,0.7525720164609053,"[0.551, 0.926]",0.18851605311722425,"[0.053, 0.494]"
28,Lung Opacity,Other,0.6640980392156863,"[0.63, 0.698]",0.44033729012564854,"[0.39, 0.496]"
29,Lung Opacity,Unknown,0.5987373737373738,"[0.54, 0.665]",0.5317313895080664,"[0.45, 0.631]"
30,Lung Opacity,Medicare,0.6504568367989919,"[0.626, 0.679]",0.43611374133633685,"[0.399, 0.479]"
31,Lung Opacity,Medicaid,0.7111761477958661,"[0.638, 0.782]",0.5543361405060532,"[0.438, 0.668]"
32,No Finding,Other,0.7928377640285451,"[0.759, 0.828]",0.5738798022245106,"[0.51, 0.638]"
33,No Finding,Unknown,0.6294187425860023,"[0.524, 0.746]",0.22773474338711208,"[0.124, 0.395]"
34,No Finding,Medicare,0.7545263426132381,"[0.722, 0.786]",0.3960856998266665,"[0.342, 0.463]"
35,No Finding,Medicaid,0.8230934735835524,"[0.739, 0.897]",0.6740985872314963,"[0.538, 0.792]"
36,Pleural Effusion,Other,0.8168937728937729,"[0.791, 0.841]",0.5898628868999327,"[0.529, 0.649]"
37,Pleural Effusion,Unknown,0.7642047949416,"[0.711, 0.815]",0.5914725380957401,"[0.509, 0.696]"
38,Pleural Effusion,Medicare,0.8170928211956398,"[0.797, 0.836]",0.681930564963165,"[0.64, 0.722]"
39,Pleural Effusion,Medicaid,0.8217283950617285,"[0.755, 0.878]",0.4717653183798153,"[0.348, 0.634]"
40,Pleural Other,Other,0.8636842105263158,"[0.799, 0.921]",0.11805239278700795,"[0.071, 0.22]"
41,Pleural Other,Unknown,0.9271844660194175,"[0.867, 0.974]",0.06703296703296703,"[0.025, 0.231]"
42,Pleural Other,Medicare,0.837312874251497,"[0.793, 0.876]",0.07427403872292085,"[0.041, 0.153]"
43,Pleural Other,Medicaid,0.823529411764706,"[0.661, 0.982]",0.11202153110047847,"[0.015, 0.5]"
44,Pneumonia,Other,0.6503633293049488,"[0.599, 0.704]",0.19802763164833087,"[0.153, 0.267]"
45,Pneumonia,Unknown,0.6087062851552947,"[0.483, 0.726]",0.14568371079176007,"[0.087, 0.24]"
46,Pneumonia,Medicare,0.6280206078557956,"[0.585, 0.673]",0.14661257984776077,"[0.114, 0.197]"
47,Pneumonia,Medicaid,0.5925925925925926,"[0.484, 0.7]",0.2281366986474903,"[0.151, 0.373]"
