,Label,Strata,ROCAUC,CI_ROC,PRAUC,CI_PR
0,Atelectasis,Other,0.6981492676121832,"[0.663, 0.734]",0.32608982528730024,"[0.282, 0.391]"
1,Atelectasis,Unknown,0.6604332449160035,"[0.599, 0.723]",0.48068481838939503,"[0.403, 0.573]"
2,Atelectasis,Medicare,0.7172087415222307,"[0.69, 0.744]",0.38948998757380915,"[0.343, 0.44]"
3,Atelectasis,Medicaid,0.8082034244824943,"[0.744, 0.865]",0.48250330463958446,"[0.345, 0.618]"
4,Cardiomegaly,Other,0.7694455508954442,"[0.741, 0.798]",0.4643001021580433,"[0.412, 0.525]"
5,Cardiomegaly,Unknown,0.732856810785681,"[0.663, 0.794]",0.4310823941757087,"[0.34, 0.553]"
6,Cardiomegaly,Medicare,0.7376222957144826,"[0.714, 0.764]",0.4797809099786924,"[0.435, 0.532]"
7,Cardiomegaly,Medicaid,0.8233532934131738,"[0.767, 0.873]",0.5023211335313684,"[0.398, 0.637]"
8,Consolidation,Other,0.7026353555120679,"[0.642, 0.757]",0.1177772117474685,"[0.085, 0.172]"
9,Consolidation,Unknown,0.7683179723502305,"[0.673, 0.847]",0.2593750725096801,"[0.163, 0.405]"
10,Consolidation,Medicare,0.6416074411292699,"[0.593, 0.693]",0.07711709602808614,"[0.06, 0.102]"
11,Consolidation,Medicaid,0.7517460317460317,"[0.655, 0.857]",0.2197986128805172,"[0.098, 0.436]"
12,Edema,Other,0.830670731707317,"[0.8, 0.858]",0.5184913382222958,"[0.451, 0.594]"
13,Edema,Unknown,0.7114346590909091,"[0.628, 0.786]",0.3564622201063013,"[0.248, 0.495]"
14,Edema,Medicare,0.795447307166633,"[0.773, 0.817]",0.5389458489899434,"[0.488, 0.591]"
15,Edema,Medicaid,0.7891414141414141,"[0.718, 0.854]",0.3604535116637688,"[0.238, 0.55]"
16,Enlarged Cardiomediastinum,Other,0.5516492466404235,"[0.477, 0.631]",0.05723555620567705,"[0.04, 0.102]"
17,Enlarged Cardiomediastinum,Unknown,0.5213983050847458,"[0.356, 0.677]",0.06879813850666847,"[0.034, 0.153]"
18,Enlarged Cardiomediastinum,Medicare,0.6723629558628874,"[0.617, 0.726]",0.0722674096449733,"[0.051, 0.119]"
19,Enlarged Cardiomediastinum,Medicaid,0.6513761467889908,"[0.468, 0.824]",0.07780219095887299,"[0.021, 0.315]"
20,Fracture,Other,0.6104601748421564,"[0.507, 0.713]",0.0645352263376904,"[0.026, 0.174]"
21,Fracture,Unknown,0.6014405762304922,"[0.447, 0.749]",0.08976336081444472,"[0.046, 0.177]"
22,Fracture,Medicare,0.587645495951417,"[0.495, 0.673]",0.028347855159198784,"[0.019, 0.043]"
23,Fracture,Medicaid,0.4729729729729729,"[0.214, 0.732]",0.016646185355862774,"[0.006, 0.051]"
24,Lung Lesion,Other,0.6750442477876106,"[0.596, 0.75]",0.05516835024825658,"[0.035, 0.092]"
25,Lung Lesion,Unknown,0.5542792792792792,"[0.409, 0.708]",0.06126658160529712,"[0.033, 0.133]"
26,Lung Lesion,Medicare,0.6748524783634933,"[0.617, 0.732]",0.06142044450848385,"[0.045, 0.095]"
27,Lung Lesion,Medicaid,0.7669753086419753,"[0.59, 0.918]",0.2568519725236143,"[0.063, 0.616]"
28,Lung Opacity,Other,0.666488413547237,"[0.633, 0.702]",0.432239553840443,"[0.384, 0.494]"
