,Label,Strata,ROCAUC,CI_ROC,PRAUC,CI_PR
0,Atelectasis,white,0.711642744944969,"[0.686, 0.736]",0.37681873789319564,"[0.335, 0.422]"
1,Atelectasis,other,0.6586466165413535,"[0.604, 0.714]",0.4703081970627863,"[0.403, 0.56]"
2,Atelectasis,black,0.7193625845885178,"[0.674, 0.763]",0.37306288212306055,"[0.303, 0.458]"
3,Atelectasis,hispanic/latino,0.9326241134751773,"[0.833, 1.0]",0.32440476190476186,"[0.071, 1.0]"
4,Atelectasis,asian,0.6872294372294372,"[0.607, 0.766]",0.3657703434361084,"[0.271, 0.531]"
5,Cardiomegaly,white,0.781778157029776,"[0.761, 0.802]",0.48833644565259904,"[0.45, 0.533]"
6,Cardiomegaly,other,0.7288398692810458,"[0.668, 0.79]",0.43295281421690046,"[0.34, 0.553]"
7,Cardiomegaly,black,0.7159759358288771,"[0.674, 0.755]",0.4837060828638241,"[0.421, 0.56]"
8,Cardiomegaly,hispanic/latino,0.6467661691542288,"[0.518, 0.749]",0.4019718981588868,"[0.285, 0.577]"
9,Cardiomegaly,asian,0.6205882352941176,"[0.534, 0.702]",0.3511680835434238,"[0.264, 0.483]"
10,Consolidation,white,0.6501680737961226,"[0.607, 0.693]",0.09440993612882806,"[0.074, 0.127]"
11,Consolidation,other,0.7874370987332987,"[0.711, 0.858]",0.25118588984936246,"[0.164, 0.401]"
12,Consolidation,black,0.6971243042671615,"[0.611, 0.784]",0.077294572061986,"[0.052, 0.133]"
13,Consolidation,asian,0.6364749082007345,"[0.506, 0.751]",0.16504287025921557,"[0.093, 0.318]"
14,Edema,white,0.817213525496476,"[0.797, 0.837]",0.5172539009985081,"[0.471, 0.565]"
15,Edema,other,0.7453236654056327,"[0.68, 0.812]",0.3628516735734139,"[0.268, 0.5]"
16,Edema,black,0.8231545616465465,"[0.786, 0.856]",0.5664570236423779,"[0.481, 0.649]"
17,Edema,hispanic/latino,0.7267206477732793,"[0.6, 0.853]",0.44551973564462016,"[0.269, 0.675]"
18,Edema,asian,0.6923758865248226,"[0.607, 0.775]",0.44972857293452084,"[0.328, 0.596]"
19,Enlarged Cardiomediastinum,white,0.6198384948384948,"[0.572, 0.672]",0.07040381287752018,"[0.051, 0.106]"
20,Enlarged Cardiomediastinum,other,0.540440083258995,"[0.398, 0.684]",0.06778088899700045,"[0.038, 0.142]"
21,Enlarged Cardiomediastinum,black,0.6404863329783458,"[0.497, 0.779]",0.10919572903765755,"[0.029, 0.257]"
22,Enlarged Cardiomediastinum,asian,0.4303867403314917,"[0.278, 0.577]",0.047341117227057514,"[0.024, 0.095]"
23,Fracture,white,0.571524765635931,"[0.496, 0.639]",0.03661228045346219,"[0.024, 0.076]"
24,Fracture,other,0.610254329004329,"[0.471, 0.735]",0.08888557778459456,"[0.051, 0.159]"
25,Fracture,black,0.6515860634425377,"[0.383, 0.953]",0.014740006256715767,"[0.003, 0.071]"
26,Fracture,hispanic/latino,0.5421052631578948,"[0.084, 0.979]",0.09523809523809523,"[0.011, 0.5]"
