,Label,Strata,ROCAUC,CI_ROC,PRAUC,CI_PR
0,Atelectasis,Other,0.7039339688444548,"[0.671, 0.74]",0.3311110910233841,"[0.282, 0.392]"
1,Atelectasis,Unknown,0.6541556145004421,"[0.592, 0.72]",0.5388585231633247,"[0.45, 0.634]"
2,Atelectasis,Medicare,0.7105310223561919,"[0.685, 0.741]",0.36448660737889016,"[0.321, 0.417]"
3,Atelectasis,Medicaid,0.81254791719908,"[0.743, 0.875]",0.4931598555245679,"[0.369, 0.659]"
4,Cardiomegaly,Other,0.7625178659293798,"[0.734, 0.792]",0.4808378135527475,"[0.426, 0.543]"
5,Cardiomegaly,Unknown,0.6821827057182706,"[0.608, 0.754]",0.4676599904108858,"[0.342, 0.581]"
6,Cardiomegaly,Medicare,0.7255012401818934,"[0.701, 0.75]",0.46343093471934693,"[0.42, 0.511]"
7,Cardiomegaly,Medicaid,0.8015692752426182,"[0.736, 0.86]",0.4621681845112404,"[0.363, 0.597]"
8,Consolidation,Other,0.7446444879321591,"[0.688, 0.801]",0.15807150003822928,"[0.114, 0.237]"
9,Consolidation,Unknown,0.7660138248847925,"[0.687, 0.838]",0.2430694749283857,"[0.161, 0.379]"
10,Consolidation,Medicare,0.6842760292142928,"[0.638, 0.737]",0.1256858992268767,"[0.088, 0.183]"
11,Consolidation,Medicaid,0.7730158730158729,"[0.658, 0.878]",0.28124444703816537,"[0.125, 0.521]"
12,Edema,Other,0.8591920731707318,"[0.833, 0.883]",0.5653074161438192,"[0.492, 0.641]"
13,Edema,Unknown,0.7409801136363636,"[0.665, 0.808]",0.3690667562783402,"[0.262, 0.497]"
14,Edema,Medicare,0.7965428944250624,"[0.774, 0.819]",0.5486613832014904,"[0.5, 0.601]"
15,Edema,Medicaid,0.8129734848484849,"[0.746, 0.875]",0.40500610015022015,"[0.269, 0.592]"
16,Enlarged Cardiomediastinum,Other,0.6706257635401114,"[0.598, 0.746]",0.07975115965580956,"[0.057, 0.123]"
17,Enlarged Cardiomediastinum,Unknown,0.6834745762711865,"[0.545, 0.818]",0.13557448016922616,"[0.06, 0.319]"
18,Enlarged Cardiomediastinum,Medicare,0.6936236249942945,"[0.635, 0.754]",0.08922455142538369,"[0.054, 0.143]"
19,Enlarged Cardiomediastinum,Medicaid,0.7942332896461337,"[0.656, 0.938]",0.11421066396908977,"[0.033, 0.324]"
20,Fracture,Other,0.6831896551724138,"[0.58, 0.784]",0.08593798305194407,"[0.041, 0.195]"
21,Fracture,Unknown,0.7865146058423369,"[0.662, 0.898]",0.20268963544865656,"[0.097, 0.395]"
22,Fracture,Medicare,0.7283970141700404,"[0.652, 0.806]",0.07478183433762928,"[0.039, 0.163]"
23,Fracture,Medicaid,0.6801801801801801,"[0.397, 0.924]",0.03428647376015797,"[0.008, 0.132]"
24,Lung Lesion,Other,0.7148419721871049,"[0.633, 0.79]",0.09451618721853976,"[0.05, 0.187]"
25,Lung Lesion,Unknown,0.5653153153153153,"[0.386, 0.761]",0.1204119687680835,"[0.04, 0.325]"
26,Lung Lesion,Medicare,0.672905192761605,"[0.608, 0.738]",0.07130877023252685,"[0.05, 0.115]"
27,Lung Lesion,Medicaid,0.8554526748971194,"[0.722, 0.954]",0.3558502826089993,"[0.087, 0.67]"
28,Lung Opacity,Other,0.6868948306595366,"[0.652, 0.719]",0.4599422433769801,"[0.406, 0.516]"
29,Lung Opacity,Unknown,0.6305555555555555,"[0.563, 0.697]",0.5441728909498396,"[0.464, 0.647]"
30,Lung Opacity,Medicare,0.648936672967864,"[0.622, 0.677]",0.44021018191794803,"[0.403, 0.487]"
31,Lung Opacity,Medicaid,0.7259923175416134,"[0.657, 0.797]",0.5983891496440912,"[0.484, 0.703]"
32,No Finding,Other,0.7943867911857669,"[0.764, 0.825]",0.5270400211724213,"[0.46, 0.6]"
33,No Finding,Unknown,0.6865954922894425,"[0.588, 0.79]",0.24911376550856204,"[0.14, 0.411]"
34,No Finding,Medicare,0.7669363572657196,"[0.736, 0.799]",0.4112072721691974,"[0.358, 0.48]"
35,No Finding,Medicaid,0.8293091082954817,"[0.744, 0.903]",0.6191400225822276,"[0.478, 0.782]"
36,Pleural Effusion,Other,0.8546043956043956,"[0.831, 0.876]",0.6994327516466505,"[0.645, 0.746]"
37,Pleural Effusion,Unknown,0.8269517871256696,"[0.778, 0.872]",0.7671479287767888,"[0.695, 0.834]"
38,Pleural Effusion,Medicare,0.8533592110311209,"[0.836, 0.872]",0.7412910283310594,"[0.704, 0.778]"
39,Pleural Effusion,Medicaid,0.8516049382716049,"[0.786, 0.906]",0.5691320557593956,"[0.431, 0.723]"
40,Pleural Other,Other,0.8977192982456139,"[0.853, 0.939]",0.150770551246445,"[0.087, 0.273]"
41,Pleural Other,Unknown,0.9579288025889967,"[0.9, 1.0]",0.28703703703703703,"[0.032, 1.0]"
42,Pleural Other,Medicare,0.8155875748502994,"[0.774, 0.855]",0.050619369043104295,"[0.033, 0.085]"
43,Pleural Other,Medicaid,0.8687782805429864,"[0.758, 0.96]",0.08986581920903955,"[0.024, 0.265]"
44,Pneumonia,Other,0.7003424126925104,"[0.655, 0.743]",0.1865054107065683,"[0.15, 0.235]"
45,Pneumonia,Unknown,0.6164098801662998,"[0.476, 0.743]",0.15771657840824552,"[0.097, 0.272]"
46,Pneumonia,Medicare,0.6639957467816048,"[0.614, 0.714]",0.21853624604751967,"[0.163, 0.29]"
47,Pneumonia,Medicaid,0.6325690770135215,"[0.532, 0.733]",0.24149588799572477,"[0.162, 0.387]"
48,Pneumothorax,Other,0.7887414659281206,"[0.74, 0.835]",0.1325756980617946,"[0.093, 0.196]"
49,Pneumothorax,Unknown,0.6567796610169492,"[0.455, 0.828]",0.3948973156648596,"[0.139, 0.646]"
50,Pneumothorax,Medicare,0.7721141485988516,"[0.68, 0.86]",0.07710957765997155,"[0.046, 0.137]"
51,Pneumothorax,Medicaid,0.5401785714285714,"[0.477, 0.608]",0.009615384615384616,"[0.009, 0.036]"
52,Support Devices,Other,0.8306550966843431,"[0.806, 0.855]",0.7054314591944635,"[0.657, 0.75]"
53,Support Devices,Unknown,0.7896098388464801,"[0.733, 0.843]",0.8096827620866464,"[0.746, 0.869]"
54,Support Devices,Medicare,0.8297920237474229,"[0.81, 0.849]",0.7016363625014423,"[0.659, 0.744]"
55,Support Devices,Medicaid,0.915486952072318,"[0.877, 0.951]",0.8769426163078685,"[0.819, 0.931]"
