,Label,Strata,ROCAUC,CI_ROC,PRAUC,CI_PR
0,Atelectasis,white,0.6965725329922569,"[0.671, 0.722]",0.36527232227247036,"[0.325, 0.41]"
1,Atelectasis,other,0.6536654135338346,"[0.596, 0.712]",0.5211471759879435,"[0.433, 0.613]"
2,Atelectasis,black,0.7023793931456015,"[0.655, 0.75]",0.382064730897529,"[0.312, 0.47]"
3,Atelectasis,hispanic/latino,0.8297872340425533,"[0.484, 1.0]",0.5204081632653061,"[0.021, 1.0]"
4,Atelectasis,asian,0.6377551020408163,"[0.546, 0.723]",0.34502858432501193,"[0.252, 0.514]"
5,Cardiomegaly,white,0.7213117743158877,"[0.699, 0.744]",0.39269620153714435,"[0.363, 0.434]"
6,Cardiomegaly,other,0.681045751633987,"[0.613, 0.747]",0.43105769908573427,"[0.329, 0.542]"
7,Cardiomegaly,black,0.7000111408199643,"[0.658, 0.742]",0.47307904573166787,"[0.417, 0.554]"
8,Cardiomegaly,hispanic/latino,0.5437810945273632,"[0.411, 0.671]",0.35851152438679756,"[0.239, 0.534]"
9,Cardiomegaly,asian,0.5635026737967914,"[0.478, 0.647]",0.33931061619209535,"[0.25, 0.471]"
10,Consolidation,white,0.6984130706691682,"[0.655, 0.74]",0.12945302646209525,"[0.099, 0.172]"
11,Consolidation,other,0.7673086933888599,"[0.696, 0.834]",0.20060441427864112,"[0.134, 0.309]"
12,Consolidation,black,0.6611201298701299,"[0.567, 0.759]",0.07256402721349475,"[0.046, 0.137]"
13,Consolidation,asian,0.5370257037943696,"[0.412, 0.667]",0.11424034693822749,"[0.069, 0.217]"
14,Edema,white,0.8043829046700873,"[0.782, 0.825]",0.4882613828299898,"[0.44, 0.541]"
15,Edema,other,0.7168978562421185,"[0.652, 0.785]",0.3313687206593611,"[0.236, 0.469]"
16,Edema,black,0.8055412626162675,"[0.768, 0.842]",0.543530144697109,"[0.462, 0.626]"
17,Edema,hispanic/latino,0.6983805668016194,"[0.562, 0.832]",0.43072934020200265,"[0.25, 0.655]"
18,Edema,asian,0.7495567375886525,"[0.664, 0.825]",0.4984959485290765,"[0.366, 0.653]"
19,Enlarged Cardiomediastinum,white,0.6560626873126874,"[0.601, 0.709]",0.0803234260215096,"[0.061, 0.115]"
20,Enlarged Cardiomediastinum,other,0.5361284567350579,"[0.384, 0.679]",0.10929771575061807,"[0.036, 0.246]"
21,Enlarged Cardiomediastinum,black,0.6039226127085552,"[0.467, 0.727]",0.03890825738752347,"[0.022, 0.073]"
22,Enlarged Cardiomediastinum,asian,0.6464088397790055,"[0.464, 0.803]",0.10820854274338639,"[0.04, 0.31]"
23,Fracture,white,0.6350872743808591,"[0.553, 0.714]",0.060711108392788274,"[0.037, 0.114]"
24,Fracture,other,0.7329545454545454,"[0.608, 0.844]",0.20699306697534772,"[0.091, 0.379]"
25,Fracture,black,0.50130005200208,"[0.123, 0.882]",0.007875438649662538,"[0.002, 0.032]"
26,Fracture,hispanic/latino,0.7421052631578948,"[0.447, 0.99]",0.14583333333333334,"[0.019, 0.667]"
27,Fracture,asian,0.5913978494623655,"[0.376, 0.768]",0.038236999917850976,"[0.016, 0.092]"
28,Lung Lesion,white,0.6694518194596283,"[0.609, 0.725]",0.06195459421665911,"[0.045, 0.092]"
29,Lung Lesion,other,0.6611201298701298,"[0.514, 0.794]",0.13130361699564969,"[0.063, 0.286]"
30,Lung Lesion,black,0.7477813276535321,"[0.615, 0.862]",0.08422819092406586,"[0.042, 0.164]"
31,Lung Lesion,hispanic/latino,0.5091575091575091,"[0.245, 0.75]",0.0761882215007215,"[0.029, 0.189]"
32,Lung Opacity,white,0.666854557730137,"[0.642, 0.691]",0.46388693712530604,"[0.428, 0.505]"
33,Lung Opacity,other,0.6122906345836282,"[0.556, 0.669]",0.5211940598736109,"[0.448, 0.609]"
34,Lung Opacity,black,0.6685330918459753,"[0.622, 0.717]",0.3717717866932279,"[0.315, 0.449]"
35,Lung Opacity,hispanic/latino,0.7074561403508772,"[0.592, 0.808]",0.5862718471099722,"[0.452, 0.74]"
36,Lung Opacity,asian,0.6305364173228347,"[0.546, 0.708]",0.44610098405036325,"[0.348, 0.565]"
37,No Finding,white,0.7742495459886762,"[0.749, 0.8]",0.5079489543146488,"[0.461, 0.56]"
38,No Finding,other,0.6688950925653835,"[0.571, 0.768]",0.28413862712846216,"[0.169, 0.443]"
39,No Finding,black,0.8119122257053291,"[0.76, 0.859]",0.5239508929056309,"[0.431, 0.626]"
40,No Finding,hispanic/latino,0.8051378446115288,"[0.687, 0.901]",0.6102366360660667,"[0.396, 0.813]"
41,No Finding,asian,0.6008771929824561,"[0.432, 0.75]",0.17553177020548294,"[0.095, 0.346]"
42,Pleural Effusion,white,0.8253914708409802,"[0.808, 0.843]",0.6620097993076942,"[0.625, 0.703]"
43,Pleural Effusion,other,0.781608103830326,"[0.731, 0.826]",0.5864407818096573,"[0.502, 0.68]"
44,Pleural Effusion,black,0.789484325198611,"[0.752, 0.823]",0.5390145435721623,"[0.464, 0.615]"
45,Pleural Effusion,hispanic/latino,0.782258064516129,"[0.45, 1.0]",0.34203296703296704,"[0.034, 1.0]"
46,Pleural Effusion,asian,0.7451690821256038,"[0.669, 0.811]",0.7213536796317241,"[0.62, 0.832]"
47,Pleural Other,white,0.7823968127867958,"[0.731, 0.835]",0.05071287432819353,"[0.033, 0.08]"
48,Pleural Other,other,0.9058265582655827,"[0.866, 0.951]",0.06389537197857866,"[0.024, 0.162]"
49,Pleural Other,black,0.9501133786848073,"[0.924, 0.972]",0.2168900658807491,"[0.111, 0.439]"
50,Pleural Other,hispanic/latino,0.9731182795698925,"[0.935, 1.0]",0.5277777777777777,"[0.2, 1.0]"
51,Pneumonia,white,0.6014630035152424,"[0.561, 0.642]",0.1614805452447594,"[0.133, 0.206]"
52,Pneumonia,other,0.6014370245139475,"[0.498, 0.701]",0.14770289568378459,"[0.096, 0.263]"
53,Pneumonia,black,0.6815206670850892,"[0.61, 0.756]",0.1877673642550688,"[0.13, 0.285]"
54,Pneumonia,hispanic/latino,0.7471264367816093,"[0.585, 0.885]",0.2793457282635973,"[0.112, 0.57]"
55,Pneumonia,asian,0.705844572896596,"[0.582, 0.811]",0.17760904532785438,"[0.102, 0.329]"
56,Pneumothorax,white,0.7705853418593211,"[0.72, 0.82]",0.08660169383736734,"[0.059, 0.131]"
57,Pneumothorax,other,0.6480438184663537,"[0.505, 0.778]",0.2495779025204322,"[0.062, 0.448]"
58,Pneumothorax,black,0.8876971608832808,"[0.795, 0.967]",0.17225879386269438,"[0.057, 0.444]"
59,Pneumothorax,hispanic/latino,0.5736842105263158,"[0.469, 0.677]",0.03522727272727273,"[0.02, 0.1]"
60,Pneumothorax,asian,0.6698357821953328,"[0.485, 0.828]",0.15710165488057168,"[0.069, 0.34]"
61,Support Devices,white,0.8062766598287259,"[0.787, 0.825]",0.6773281661493415,"[0.641, 0.714]"
62,Support Devices,other,0.7721679125934445,"[0.722, 0.816]",0.7540999002789864,"[0.684, 0.817]"
63,Support Devices,black,0.7347157320872275,"[0.691, 0.774]",0.5613985034210673,"[0.489, 0.629]"
64,Support Devices,hispanic/latino,0.9238095238095239,"[0.844, 0.981]",0.469885721433709,"[0.206, 0.867]"
65,Support Devices,asian,0.6022153981136215,"[0.515, 0.689]",0.5916795631779439,"[0.491, 0.7]"
